id_client;sexe;tranche_age;enfant_conduit_accompagne;Enfants ;revenus;tranche_tarifs;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule
20;F;[40-60];non;non;[80K,100K];[200,400];Commercial;z_SUV;no;0;9.0;Highly Urban/ Urban;29/05/2022 18:16;complet;dev_integral
21;M;[40-60];non;non;[4000,8000];[200,400];Private;Minivan;no;3;5.0;z_Highly Rural/ Rural;29/05/2022 10:50;complet;dev_express
22;M;[0-20];non;non;[40K,80K];[200,400];Private;Minivan;no;0;15.0;Highly Urban/ Urban;29/05/2022 09:22;complet;dev_integral
23;M;[20-40];non;oui;[40K,80K];[200,400];Private;Minivan;no;0;21.0;Highly Urban/ Urban;29/05/2022 04:55;complet;dev_integral
24;M;[60-80];oui;oui;[10K,40K];[200,400];Commercial;Pickup;yes;5;1.0;Highly Urban/ Urban;29/05/2022 03:14;complet;dev_integral
25;M;[60-80];non;oui;[10K,40K];[200,400];Private;z_SUV;no;0;5.0;Highly Urban/ Urban;29/05/2022 02:01;complet;dev_express
26;M;[20-40];non;oui;[100K,400K];[200,400];Commercial;Panel Truck;yes;0;19.0;Highly Urban/ Urban;29/05/2022 01:33;complet;dev_integral
27;M;[0-20];non;non;[40K,80K];[200,400];Private;z_SUV;no;4;5.0;Highly Urban/ Urban;28/05/2022 19:58;complet;dev_integral
28;F;[0-20];non;non;[40K,80K];[200,400];Private;z_SUV;no;5;4.0;Highly Urban/ Urban;28/05/2022 19:05;complet;dev_integral
29;M;[60-80];non;non;[10K,40K];[200,400];Private;z_SUV;no;4;;Highly Urban/ Urban;28/05/2022 16:57;complet;dev_integral
30;M;[80-100];non;oui;[40K,80K];[200,400];Private;Sports Car;no;0;;Highly Urban/ Urban;28/05/2022 16:47;complet;dev_express
31;F;[20-40];non;non;0;[200,400];Commercial;Panel Truck;yes;0;9.0;z_Highly Rural/ Rural;28/05/2022 14:51;complet;dev_integral
32;F;[20-40];oui;oui;[10K,40K];[200,400];Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;28/05/2022 07:13;complet;dev_express
33;M;[40-60];non;non;[40K,80K];[200,400];Commercial;Panel Truck;yes;0;1.0;Highly Urban/ Urban;28/05/2022 06:19;complet;dev_integral
34;F;[0-20];non;oui;[10K,40K];[200,400];Commercial;z_SUV;no;0;7.0;z_Highly Rural/ Rural;28/05/2022 05:50;complet;dev_express
35;M;[60-80];non;oui;[40K,80K];[200,400];Private;z_SUV;no;2;6.0;Highly Urban/ Urban;28/05/2022 03:24;complet;dev_express
36;F;[60-80];non;oui;[10K,40K];[600,800];Private;Minivan;no;8;9.0;Highly Urban/ Urban;28/05/2022 00:32;complet;dev_vip
37;F;[60-80];non;non;[4000,8000];[200,400];Private;Pickup;yes;1;1.0;Highly Urban/ Urban;27/05/2022 23:47;complet;dev_express
38;M;[40-60];non;non;[80K,100K];[200,400];Private;z_SUV;no;8;1.0;Highly Urban/ Urban;27/05/2022 18:51;complet;dev_integral
39;F;[40-60];non;non;[10K,40K];[400,600];Private;z_SUV;no;1;9.0;z_Highly Rural/ Rural;27/05/2022 17:51;complet;dev_premium
40;M;[20-40];oui;oui;[40K,80K];[400,600];Commercial;Pickup;no;0;7.0;Highly Urban/ Urban;27/05/2022 14:41;complet;dev_premium
41;F;[60-80];non;non;[100K,400K];[200,400];Private;Minivan;yes;2;20.0;Highly Urban/ Urban;27/05/2022 05:18;complet;dev_express
42;F;[40-60];non;oui;[80K,100K];[200,400];Private;z_SUV;no;0;11.0;Highly Urban/ Urban;26/05/2022 22:40;complet;dev_integral
43;M;[0-20];non;non;[80K,100K];[400,600];Private;Van;yes;2;9.0;Highly Urban/ Urban;26/05/2022 22:28;complet;dev_premium
44;F;[40-60];non;non;[100K,400K];[200,400];Private;Minivan;no;0;15.0;Highly Urban/ Urban;26/05/2022 21:39;complet;dev_integral
45;M;[80-100];non;non;0;[200,400];Private;Van;no;0;9.0;Highly Urban/ Urban;26/05/2022 21:07;complet;dev_integral
46;F;[60-80];oui;oui;[8000,10K];[200,400];Private;Minivan;yes;3;1.0;Highly Urban/ Urban;26/05/2022 20:49;complet;dev_integral
47;M;[60-80];non;oui;0;[200,400];Commercial;Panel Truck;no;0;12.0;Highly Urban/ Urban;26/05/2022 12:01;complet;dev_express
48;F;[40-60];oui;oui;[10K,40K];[200,400];Private;Minivan;no;0;10.0;Highly Urban/ Urban;26/05/2022 05:51;complet;dev_express
49;F;[80-100];non;oui;[40K,80K];[200,400];Private;Sports Car;no;0;;Highly Urban/ Urban;26/05/2022 01:56;complet;dev_integral
50;F;[0-20];non;non;[10K,40K];[200,400];Private;Minivan;no;0;1.0;z_Highly Rural/ Rural;26/05/2022 01:21;complet;dev_integral
51;M;[80-100];non;non;[40K,80K];[200,400];Commercial;Panel Truck;no;2;8.0;z_Highly Rural/ Rural;26/05/2022 01:19;complet;dev_integral
52;M;[40-60];non;oui;[80K,100K];[400,600];Commercial;Van;yes;2;;z_Highly Rural/ Rural;26/05/2022 00:20;complet;dev_premium
53;M;[20-40];oui;oui;[80K,100K];[200,400];Private;z_SUV;no;4;16.0;Highly Urban/ Urban;25/05/2022 20:36;complet;dev_express
54;M;[0-20];non;non;[100K,400K];[200,400];Private;Minivan;no;3;;Highly Urban/ Urban;25/05/2022 18:59;complet;dev_express
55;M;[40-60];non;non;[8000,10K];[200,400];Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;25/05/2022 17:39;complet;dev_express
56;M;[20-40];non;non;[10K,40K];[400,600];Private;Minivan;no;0;8.0;z_Highly Rural/ Rural;25/05/2022 08:12;complet;dev_premium
57;F;[60-80];non;non;[1000,4000];[200,400];Private;z_SUV;no;0;3.0;Highly Urban/ Urban;25/05/2022 07:24;complet;dev_express
58;F;[40-60];non;oui;[10K,40K];[200,400];Private;z_SUV;no;0;4.0;Highly Urban/ Urban;25/05/2022 06:02;complet;dev_integral
59;F;[60-80];non;non;[10K,40K];[200,400];Private;z_SUV;no;3;;Highly Urban/ Urban;25/05/2022 05:18;complet;dev_express
60;F;[60-80];non;oui;[40K,80K];[200,400];Commercial;Minivan;no;0;1.0;z_Highly Rural/ Rural;25/05/2022 04:29;complet;dev_integral
61;M;[60-80];non;oui;0;[200,400];Private;Minivan;yes;1;;Highly Urban/ Urban;24/05/2022 23:51;complet;dev_integral
62;F;[80-100];oui;oui;[40K,80K];[200,400];Private;Minivan;no;2;1.0;Highly Urban/ Urban;24/05/2022 21:07;complet;dev_express
63;F;[0-20];non;oui;[10K,40K];[200,400];Private;z_SUV;no;0;9.0;Highly Urban/ Urban;24/05/2022 20:26;complet;dev_integral
64;F;[60-80];non;oui;[40K,80K];[200,400];Commercial;z_SUV;no;5;11.0;Highly Urban/ Urban;24/05/2022 19:47;complet;dev_integral
65;M;[40-60];non;non;0;[200,400];Private;z_SUV;no;1;1.0;Highly Urban/ Urban;24/05/2022 17:45;complet;dev_express
66;F;[0-20];non;non;[40K,80K];[200,400];Private;z_SUV;no;0;8.0;z_Highly Rural/ Rural;24/05/2022 16:03;complet;dev_integral
67;M;[60-80];non;non;[40K,80K];[400,600];Private;Minivan;yes;1;12.0;Highly Urban/ Urban;24/05/2022 14:39;complet;dev_premium
68;M;[0-20];non;non;[80K,100K];[200,400];Private;Sports Car;no;0;9.0;Highly Urban/ Urban;24/05/2022 09:52;complet;dev_integral
69;F;[40-60];non;non;[40K,80K];[200,400];Private;Minivan;no;0;15.0;Highly Urban/ Urban;24/05/2022 09:47;complet;dev_express
70;F;[60-80];non;oui;[40K,80K];[200,400];Commercial;Van;no;0;5.0;Highly Urban/ Urban;24/05/2022 02:44;complet;dev_integral
71;M;[0-20];non;oui;[10K,40K];[200,400];Private;Pickup;yes;0;17.0;Highly Urban/ Urban;24/05/2022 02:16;complet;dev_express
72;M;[0-20];non;non;[100K,400K];[200,400];Private;Pickup;no;0;10.0;Highly Urban/ Urban;23/05/2022 23:35;complet;dev_integral
73;F;[40-60];oui;oui;[40K,80K];[200,400];Private;z_SUV;no;9;6.0;Highly Urban/ Urban;23/05/2022 14:29;complet;dev_integral
74;F;[0-20];non;non;[100K,400K];[200,400];Commercial;Panel Truck;no;1;12.0;Highly Urban/ Urban;23/05/2022 10:42;complet;dev_express
75;M;[0-20];non;non;[100K,400K];[200,400];Private;Minivan;no;0;7.0;Highly Urban/ Urban;23/05/2022 09:33;complet;dev_express
76;F;[60-80];oui;oui;[40K,80K];[200,400];Private;Sports Car;no;4;14.0;Highly Urban/ Urban;23/05/2022 04:04;complet;dev_integral
77;M;[0-20];oui;oui;[40K,80K];[200,400];Commercial;Sports Car;no;2;1.0;Highly Urban/ Urban;23/05/2022 03:25;complet;dev_integral
78;F;[60-80];non;non;[40K,80K];[200,400];Private;Pickup;yes;0;15.0;Highly Urban/ Urban;23/05/2022 03:01;complet;dev_integral
79;M;[40-60];non;oui;[10K,40K];[200,400];Private;z_SUV;no;3;6.0;Highly Urban/ Urban;23/05/2022 01:28;complet;dev_express
80;M;[40-60];non;oui;[80K,100K];[200,400];Private;z_SUV;no;0;;Highly Urban/ Urban;22/05/2022 23:11;complet;dev_integral
81;M;[0-20];non;non;[40K,80K];[200,400];Private;Minivan;no;2;1.0;z_Highly Rural/ Rural;22/05/2022 15:08;complet;dev_express
82;F;[60-80];non;non;[40K,80K];[400,600];Commercial;Van;yes;4;1.0;Highly Urban/ Urban;22/05/2022 10:59;complet;dev_premium
83;F;[80-100];oui;oui;[40K,80K];[200,400];Commercial;Panel Truck;yes;0;14.0;z_Highly Rural/ Rural;22/05/2022 06:17;complet;dev_integral
84;M;[60-80];oui;oui;[80K,100K];[200,400];Private;Sports Car;no;0;8.0;Highly Urban/ Urban;21/05/2022 22:35;complet;dev_integral
85;F;[40-60];non;oui;[40K,80K];[200,400];Private;Minivan;yes;0;20.0;Highly Urban/ Urban;21/05/2022 22:01;complet;dev_integral
86;F;[40-60];non;non;[10K,40K];[200,400];Private;Minivan;yes;0;8.0;Highly Urban/ Urban;21/05/2022 17:50;complet;dev_premium
87;M;[80-100];non;oui;0;[200,400];Commercial;z_SUV;no;7;;Highly Urban/ Urban;21/05/2022 17:06;complet;dev_express
88;M;[20-40];non;oui;[10K,40K];[200,400];Private;Minivan;yes;3;1.0;Highly Urban/ Urban;21/05/2022 16:52;complet;dev_integral
89;M;[40-60];oui;oui;[8000,10K];[200,400];Private;Minivan;yes;2;7.0;z_Highly Rural/ Rural;21/05/2022 16:11;complet;dev_integral
90;M;[20-40];oui;oui;[10K,40K];[200,400];Private;z_SUV;no;2;6.0;Highly Urban/ Urban;21/05/2022 14:48;complet;dev_integral
91;F;[60-80];non;oui;[10K,40K];[200,400];Private;Van;yes;6;1.0;Highly Urban/ Urban;21/05/2022 08:38;complet;dev_express
92;F;[40-60];non;non;[100K,400K];[200,400];Commercial;Panel Truck;yes;5;10.0;Highly Urban/ Urban;21/05/2022 08:25;complet;dev_integral
93;F;[60-80];non;non;[40K,80K];[200,400];Private;Minivan;no;0;16.0;Highly Urban/ Urban;20/05/2022 22:56;complet;dev_integral
94;F;[40-60];oui;oui;[1000,4000];[200,400];Private;Minivan;yes;0;;Highly Urban/ Urban;20/05/2022 20:57;complet;dev_express
95;F;[20-40];oui;oui;[40K,80K];[200,400];Private;Pickup;yes;0;11.0;Highly Urban/ Urban;20/05/2022 20:26;complet;dev_express
96;F;[0-20];non;non;[10K,40K];[200,400];Private;Minivan;yes;0;1.0;Highly Urban/ Urban;20/05/2022 20:22;complet;dev_express
97;M;[60-80];non;oui;0;[200,400];Private;Minivan;yes;3;5.0;Highly Urban/ Urban;20/05/2022 14:45;complet;dev_integral
98;M;[40-60];non;oui;[80K,100K];[200,400];Private;z_SUV;no;4;9.0;Highly Urban/ Urban;20/05/2022 14:23;complet;dev_integral
99;F;[20-40];non;non;[10K,40K];[200,400];Commercial;Pickup;no;3;;z_Highly Rural/ Rural;20/05/2022 03:29;complet;dev_express
100;F;[20-40];non;non;[10K,40K];[200,400];Private;z_SUV;no;3;9.0;z_Highly Rural/ Rural;20/05/2022 00:54;complet;dev_integral
101;F;[40-60];non;non;[100K,400K];[200,400];Commercial;Panel Truck;yes;1;12.0;Highly Urban/ Urban;19/05/2022 17:35;complet;dev_integral
102;M;[40-60];non;non;[10K,40K];[200,400];Commercial;Panel Truck;yes;6;11.0;Highly Urban/ Urban;19/05/2022 17:14;complet;dev_express
103;F;[80-100];oui;oui;[80K,100K];[200,400];Commercial;Panel Truck;no;0;;z_Highly Rural/ Rural;19/05/2022 09:28;complet;dev_integral
104;M;[20-40];non;non;[40K,80K];[200,400];Commercial;Minivan;yes;1;1.0;Highly Urban/ Urban;19/05/2022 06:35;complet;dev_integral
105;M;[0-20];non;non;[40K,80K];[200,400];Commercial;Van;yes;0;4.0;Highly Urban/ Urban;18/05/2022 22:10;complet;dev_integral
106;F;[60-80];non;non;[10K,40K];[200,400];Private;Minivan;no;0;9.0;Highly Urban/ Urban;18/05/2022 20:48;complet;dev_express
107;M;[40-60];oui;oui;[10K,40K];[200,400];Private;z_SUV;no;0;5.0;z_Highly Rural/ Rural;18/05/2022 20:23;complet;dev_integral
108;F;[60-80];non;non;[1000,4000];[200,400];Commercial;Panel Truck;yes;0;;Highly Urban/ Urban;18/05/2022 18:08;complet;dev_integral
109;M;[20-40];non;non;[40K,80K];[200,400];Commercial;Sports Car;yes;0;7.0;Highly Urban/ Urban;18/05/2022 16:18;complet;dev_express
110;M;[60-80];non;oui;[100K,400K];[200,400];Private;Minivan;yes;0;1.0;Highly Urban/ Urban;18/05/2022 15:04;complet;dev_express
111;M;[40-60];non;non;[10K,40K];[200,400];Commercial;Pickup;yes;0;7.0;z_Highly Rural/ Rural;18/05/2022 13:33;complet;dev_premium
112;M;[60-80];oui;oui;[10K,40K];[200,400];Commercial;Pickup;no;0;5.0;z_Highly Rural/ Rural;18/05/2022 10:53;complet;dev_integral
113;F;[20-40];non;non;[40K,80K];[200,400];Commercial;z_SUV;no;5;12.0;z_Highly Rural/ Rural;18/05/2022 05:21;complet;dev_express
114;F;[40-60];non;non;[40K,80K];[200,400];Private;Pickup;yes;1;1.0;z_Highly Rural/ Rural;17/05/2022 22:41;complet;dev_integral
115;M;[40-60];non;non;[100K,400K];[200,400];Commercial;z_SUV;no;1;1.0;Highly Urban/ Urban;17/05/2022 21:52;complet;dev_integral
116;F;[0-20];non;non;[80K,100K];[400,600];Private;Minivan;no;0;11.0;Highly Urban/ Urban;17/05/2022 21:03;complet;dev_vip
117;M;[60-80];oui;oui;[10K,40K];[200,400];Commercial;Pickup;no;3;9.0;Highly Urban/ Urban;17/05/2022 12:05;complet;dev_express
118;M;[60-80];non;oui;0;[200,400];Commercial;Sports Car;no;7;8.0;Highly Urban/ Urban;17/05/2022 10:24;complet;dev_integral
119;M;[0-20];non;non;0;[200,400];Private;Minivan;no;2;12.0;Highly Urban/ Urban;17/05/2022 09:44;complet;dev_express
120;M;[40-60];non;non;[40K,80K];[200,400];Private;z_SUV;no;5;1.0;Highly Urban/ Urban;17/05/2022 07:36;complet;dev_express
121;M;[20-40];non;non;0;[200,400];Private;Sports Car;no;2;5.0;z_Highly Rural/ Rural;17/05/2022 00:52;complet;dev_integral
122;F;[20-40];non;oui;[40K,80K];[200,400];Commercial;Pickup;yes;0;4.0;Highly Urban/ Urban;16/05/2022 17:40;complet;dev_integral
123;M;[60-80];non;non;[100K,400K];[200,400];Commercial;Pickup;no;0;16.0;Highly Urban/ Urban;16/05/2022 07:44;complet;dev_express
124;F;[40-60];non;non;[1000,4000];[200,400];Private;z_SUV;no;0;9.0;Highly Urban/ Urban;16/05/2022 05:07;complet;dev_express
125;M;[60-80];non;non;[100K,400K];[200,400];Private;z_SUV;no;1;15.0;Highly Urban/ Urban;16/05/2022 04:25;complet;dev_premium
126;F;[20-40];non;non;0;[200,400];Commercial;Van;yes;0;7.0;Highly Urban/ Urban;16/05/2022 02:39;complet;dev_premium
127;M;[20-40];non;oui;[10K,40K];[200,400];Commercial;Minivan;no;0;8.0;Highly Urban/ Urban;16/05/2022 00:02;complet;dev_express
128;F;[40-60];oui;oui;[40K,80K];[200,400];Private;z_SUV;no;1;10.0;Highly Urban/ Urban;15/05/2022 09:25;complet;dev_express
129;F;[40-60];non;non;[100K,400K];[200,400];Private;Minivan;no;4;13.0;Highly Urban/ Urban;15/05/2022 03:11;complet;dev_premium
130;M;[40-60];oui;oui;[10K,40K];[200,400];Commercial;Van;yes;1;1.0;Highly Urban/ Urban;15/05/2022 02:01;complet;dev_integral
131;M;[0-20];oui;oui;[10K,40K];[200,400];Private;z_SUV;no;0;5.0;Highly Urban/ Urban;14/05/2022 23:10;complet;dev_express
132;M;[40-60];non;non;[40K,80K];[200,400];Commercial;Pickup;no;0;19.0;Highly Urban/ Urban;14/05/2022 21:13;complet;dev_integral
133;M;[80-100];non;non;[100K,400K];[200,400];Commercial;Minivan;yes;0;9.0;z_Highly Rural/ Rural;14/05/2022 20:36;complet;dev_integral
134;M;[0-20];non;oui;[40K,80K];[200,400];Private;z_SUV;no;3;5.0;Highly Urban/ Urban;14/05/2022 19:19;complet;dev_integral
135;F;[40-60];non;oui;[40K,80K];[200,400];Commercial;Van;yes;4;9.0;Highly Urban/ Urban;14/05/2022 13:46;complet;dev_integral
136;M;[40-60];non;non;[10K,40K];[200,400];Private;Van;no;0;6.0;Highly Urban/ Urban;14/05/2022 09:17;complet;dev_express
137;M;[40-60];non;non;[40K,80K];[200,400];Private;z_SUV;no;0;8.0;Highly Urban/ Urban;14/05/2022 03:38;complet;dev_express
138;F;[40-60];non;oui;[10K,40K];[200,400];Commercial;Pickup;no;0;1.0;Highly Urban/ Urban;14/05/2022 00:58;complet;dev_express
139;F;[40-60];non;oui;[10K,40K];[200,400];Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;13/05/2022 22:59;complet;dev_express
140;M;[20-40];non;non;[100K,400K];[200,400];Commercial;Van;yes;0;5.0;Highly Urban/ Urban;13/05/2022 22:19;complet;dev_premium
141;F;[80-100];non;non;[10K,40K];[200,400];Commercial;Minivan;no;0;1.0;Highly Urban/ Urban;13/05/2022 15:01;complet;dev_integral
142;F;[40-60];non;non;0;[200,400];Commercial;Minivan;no;2;11.0;Highly Urban/ Urban;13/05/2022 08:26;complet;dev_express
143;M;[60-80];oui;oui;[100K,400K];[400,600];Private;z_SUV;no;1;11.0;Highly Urban/ Urban;13/05/2022 07:42;complet;dev_premium
144;M;[40-60];non;non;[10K,40K];[200,400];Private;z_SUV;no;2;11.0;Highly Urban/ Urban;13/05/2022 05:41;complet;dev_express
145;M;[80-100];non;oui;[40K,80K];[200,400];Commercial;Van;yes;4;8.0;Highly Urban/ Urban;13/05/2022 02:36;complet;dev_integral
146;M;[0-20];oui;oui;[10K,40K];[200,400];Commercial;Pickup;no;3;9.0;Highly Urban/ Urban;12/05/2022 21:36;complet;dev_integral
147;M;[40-60];non;oui;[10K,40K];[200,400];Private;Minivan;no;1;10.0;Highly Urban/ Urban;12/05/2022 14:47;complet;dev_express
148;M;[60-80];non;non;[40K,80K];[200,400];Commercial;z_SUV;no;0;11.0;Highly Urban/ Urban;12/05/2022 14:06;complet;dev_express
149;F;[20-40];non;non;[10K,40K];[200,400];Private;Minivan;no;3;;z_Highly Rural/ Rural;12/05/2022 06:56;complet;dev_premium
150;F;[80-100];non;oui;[10K,40K];[200,400];Private;z_SUV;no;0;12.0;Highly Urban/ Urban;11/05/2022 19:57;complet;dev_integral
151;M;[0-20];non;non;[10K,40K];[200,400];Private;Minivan;yes;1;1.0;z_Highly Rural/ Rural;11/05/2022 19:20;complet;dev_express
152;F;[0-20];oui;oui;[100K,400K];[200,400];Commercial;Van;yes;0;;Highly Urban/ Urban;11/05/2022 14:01;complet;dev_express
153;M;[40-60];non;non;[80K,100K];[200,400];Private;Pickup;yes;0;9.0;Highly Urban/ Urban;11/05/2022 12:25;complet;dev_integral
154;M;[60-80];non;non;[40K,80K];[200,400];Commercial;Pickup;yes;4;7.0;Highly Urban/ Urban;11/05/2022 10:53;complet;dev_integral
155;M;[20-40];non;non;[100K,400K];[200,400];Private;Minivan;no;1;10.0;z_Highly Rural/ Rural;11/05/2022 08:01;complet;dev_express
156;F;[40-60];non;oui;[10K,40K];[200,400];Commercial;Pickup;no;7;1.0;z_Highly Rural/ Rural;11/05/2022 07:38;complet;dev_express
157;M;[40-60];non;non;0;[200,400];Private;Pickup;no;1;1.0;Highly Urban/ Urban;11/05/2022 06:47;complet;dev_integral
158;M;[40-60];non;non;[100K,400K];[200,400];Private;Minivan;no;4;10.0;Highly Urban/ Urban;11/05/2022 05:29;complet;dev_express
159;M;[60-80];non;non;[1000,4000];[800,1000];Private;Van;no;2;22.0;z_Highly Rural/ Rural;11/05/2022 04:46;complet;dev_vip
160;F;[20-40];non;non;[40K,80K];[200,400];Private;z_SUV;no;3;;Highly Urban/ Urban;11/05/2022 03:18;complet;dev_express
161;M;[0-20];non;non;0;[200,400];Commercial;Minivan;no;1;10.0;Highly Urban/ Urban;11/05/2022 03:02;complet;dev_express
162;M;[80-100];non;non;[40K,80K];[200,400];Private;Minivan;no;0;13.0;Highly Urban/ Urban;11/05/2022 02:24;complet;dev_express
163;M;[20-40];oui;oui;[100K,400K];[200,400];Commercial;Van;no;4;9.0;Highly Urban/ Urban;11/05/2022 02:14;complet;dev_express
164;F;[0-20];non;non;[100K,400K];[200,400];Private;z_SUV;no;0;7.0;Highly Urban/ Urban;10/05/2022 23:39;complet;dev_integral
165;M;[60-80];non;oui;[40K,80K];[200,400];Commercial;Pickup;yes;2;13.0;z_Highly Rural/ Rural;10/05/2022 23:21;complet;dev_premium
166;M;[60-80];non;non;[100K,400K];[200,400];Commercial;Panel Truck;yes;0;6.0;Highly Urban/ Urban;10/05/2022 21:14;complet;dev_express
167;F;[60-80];oui;oui;[40K,80K];[200,400];Private;Sports Car;no;6;12.0;Highly Urban/ Urban;10/05/2022 14:59;complet;dev_express
168;F;[60-80];non;non;[40K,80K];[200,400];Commercial;Minivan;no;5;1.0;Highly Urban/ Urban;10/05/2022 13:40;complet;dev_express
169;M;[80-100];oui;oui;[40K,80K];[400,600];Private;z_SUV;no;1;5.0;Highly Urban/ Urban;10/05/2022 11:42;complet;dev_premium
170;F;[40-60];oui;oui;[40K,80K];[400,600];Private;Minivan;no;3;7.0;Highly Urban/ Urban;10/05/2022 11:14;complet;dev_premium
171;M;[40-60];non;non;[10K,40K];[200,400];Commercial;Sports Car;no;0;1.0;z_Highly Rural/ Rural;10/05/2022 09:58;complet;dev_integral
172;F;[80-100];non;non;[100K,400K];[200,400];Private;Sports Car;no;8;20.0;Highly Urban/ Urban;10/05/2022 08:42;complet;dev_integral
173;F;[40-60];non;oui;[40K,80K];[400,600];Commercial;Van;yes;0;6.0;Highly Urban/ Urban;10/05/2022 08:25;complet;dev_premium
174;F;[0-20];non;oui;[10K,40K];[200,400];Commercial;z_SUV;no;3;8.0;z_Highly Rural/ Rural;10/05/2022 07:15;complet;dev_express
175;M;[0-20];non;non;[40K,80K];[200,400];Private;Pickup;yes;0;;Highly Urban/ Urban;10/05/2022 07:12;complet;dev_express
176;M;[40-60];non;non;[40K,80K];[200,400];Private;Minivan;yes;0;12.0;Highly Urban/ Urban;10/05/2022 05:21;complet;dev_integral
177;F;[80-100];non;oui;[10K,40K];[200,400];Private;Sports Car;no;0;1.0;Highly Urban/ Urban;09/05/2022 23:43;complet;dev_express
178;F;[60-80];non;non;[10K,40K];[400,600];Private;Sports Car;no;3;7.0;z_Highly Rural/ Rural;09/05/2022 20:08;complet;dev_premium
179;M;[80-100];non;non;[40K,80K];[200,400];Commercial;Minivan;yes;6;;Highly Urban/ Urban;09/05/2022 19:49;complet;dev_integral
180;F;[20-40];non;oui;[40K,80K];[200,400];Commercial;Minivan;no;0;10.0;Highly Urban/ Urban;09/05/2022 14:13;complet;dev_express
181;F;[0-20];non;non;[10K,40K];[200,400];Private;z_SUV;no;2;6.0;Highly Urban/ Urban;09/05/2022 11:12;complet;dev_integral
182;M;[60-80];non;non;[10K,40K];[200,400];Private;Sports Car;no;1;;z_Highly Rural/ Rural;09/05/2022 03:37;complet;dev_express
183;M;[20-40];non;non;[40K,80K];[200,400];Private;z_SUV;no;7;1.0;Highly Urban/ Urban;09/05/2022 02:49;complet;dev_integral
184;M;[0-20];non;non;[40K,80K];[800,1000];Commercial;Panel Truck;yes;1;4.0;z_Highly Rural/ Rural;09/05/2022 02:38;complet;dev_vip
185;F;[40-60];non;non;[10K,40K];[200,400];Commercial;Pickup;yes;0;19.0;Highly Urban/ Urban;08/05/2022 21:30;complet;dev_integral
